Electronics,Programming,Database,Data Science,Mathematics,DSA,Student Name
26,60,86,47,39,86,Student0
51,98,21,82,54,15,Student1
83,84,87,2,4,79,Student2
92,51,30,98,49,28,Student3
68,96,30,86,76,71,Student4
81,73,68,80,20,37,Student5
9,91,5,80,5,67,Student6
83,12,37,59,78,13,Student7
33,4,82,93,51,14,Student8
77,62,77,90,12,2,Student9
46,9,0,16,62,84,Student10
54,43,65,98,72,18,Student11
95,53,61,94,5,12,Student12
5,26,79,48,75,35,Student13
81,48,65,43,6,12,Student14
57,97,36,10,28,10,Student15
67,79,9,47,37,57,Student16
78,46,2,39,51,5,Student17
19,6,15,33,1,33,Student18
74,76,98,49,57,91,Student19
20,8,93,99,51,31,Student20
60,93,31,6,27,87,Student21
22,96,89,19,42,65,Student22
68,22,66,7,39,6,Student23
22,9,41,27,45,76,Student24
33,90,74,89,100,68,Student25
90,11,94,23,61,87,Student26
38,61,56,100,43,17,Student27
35,76,18,60,100,73,Student28
82,89,54,54,10,52,Student29
76,87,98,43,56,35,Student30
84,60,63,91,56,23,Student31
52,50,41,60,91,98,Student32
27,16,39,24,45,37,Student33
76,27,83,6,11,27,Student34
55,1,64,69,57,22,Student35
39,63,54,32,91,83,Student36
7,20,0,21,96,54,Student37
33,15,97,46,18,35,Student38
32,32,63,50,6,34,Student39
72,14,52,53,50,68,Student40
59,47,87,97,93,43,Student41
73,45,49,90,42,54,Student42
94,19,53,66,50,10,Student43
82,91,58,90,10,52,Student44
93,34,78,88,34,60,Student45
22,96,91,14,91,82,Student46
16,41,7,1,24,74,Student47
92,23,85,22,40,80,Student48
36,62,4,44,87,76,Student49
21,83,20,12,7,0,Student50
27,89,68,32,60,57,Student51
19,35,3,57,59,37,Student52
8,59,11,100,19,81,Student53
32,33,71,87,19,7,Student54
15,77,40,23,14,83,Student55
66,59,32,51,88,100,Student56
22,13,69,49,34,58,Student57
48,44,88,34,97,55,Student58
25,7,61,23,48,6,Student59
58,91,15,14,29,2,Student60
68,56,26,93,99,34,Student61
79,19,69,0,54,73,Student62
50,20,94,15,26,32,Student63
28,35,39,34,43,82,Student64
64,85,54,97,82,31,Student65
62,82,13,53,36,95,Student66
54,67,74,63,46,77,Student67
26,23,41,86,2,28,Student68
50,18,91,92,95,88,Student69
79,65,84,74,41,98,Student70
54,43,72,45,34,96,Student71
99,32,14,58,91,98,Student72
60,78,6,29,22,27,Student73
9,18,38,61,53,94,Student74
12,11,28,100,61,97,Student75
60,78,78,12,1,43,Student76
87,32,28,47,34,93,Student77
5,31,13,65,20,35,Student78
14,25,58,85,23,47,Student79
48,96,48,28,10,85,Student80
85,92,30,89,56,83,Student81
29,23,41,19,12,6,Student82
28,30,4,87,61,56,Student83
27,88,58,23,74,47,Student84
82,91,69,41,9,96,Student85
2,42,96,93,28,64,Student86
6,70,22,25,70,41,Student87
42,78,67,34,90,61,Student88
78,90,9,16,71,4,Student89
40,96,5,82,47,85,Student90
39,92,56,37,30,78,Student91
13,76,8,16,62,52,Student92
2,33,86,86,78,97,Student93
17,70,9,49,29,39,Student94
83,90,5,22,72,72,Student95
47,25,98,82,70,91,Student96
57,22,17,90,49,43,Student97
55,43,80,8,37,40,Student98
54,75,8,29,22,44,Student99
3,38,64,82,79,88,Student100
60,14,45,68,84,21,Student101
57,25,77,37,19,18,Student102
63,0,31,52,91,67,Student103
80,14,63,75,58,95,Student104
11,29,59,70,96,25,Student105
80,49,35,87,81,85,Student106
100,51,30,26,15,40,Student107
33,62,41,70,65,13,Student108
85,32,88,75,43,7,Student109
48,6,91,87,8,61,Student110
62,5,90,26,23,32,Student111
42,9,79,3,84,50,Student112
22,1,57,87,74,17,Student113
18,70,91,37,28,44,Student114
45,10,58,46,90,10,Student115
62,47,8,74,54,7,Student116
42,68,57,7,72,35,Student117
72,82,52,30,94,67,Student118
7,87,89,58,88,69,Student119
41,56,69,53,42,47,Student120
30,32,3,72,27,61,Student121
2,12,5,88,48,78,Student122
21,93,81,60,73,58,Student123
86,90,85,85,34,62,Student124
1,57,60,29,16,47,Student125
39,8,86,33,3,55,Student126
43,23,83,61,12,93,Student127
0,99,36,92,79,79,Student128
26,52,92,5,29,68,Student129
